_id.Year,Number
1910,113
1911,173
1912,456
1913,562
1914,740
1915,967
1916,1053
1917,1164
1918,1257
1919,1186
1920,1435
1921,1340
1922,1311
1923,1243
1924,1263
1925,1269
1926,1189
1927,1164
1928,1075
1929,1023
1930,1063
1931,1057
1932,2756
1933,5355
1934,4144
1935,2601
1936,2933
1937,2509
1938,1994
1939,1829
1940,2375
1941,2189
1942,2347
1943,1959
1944,1798
1945,1874
1946,1694
1947,1756
1948,1536
1949,1599
1950,1615
1951,1689
1952,1692
1953,1750
1954,1811
1955,1748
1956,1764
1957,1677
1958,1563
1959,1538
1960,1510
1961,1505
1962,1506
1963,1511
1964,1478
1965,1350
1966,1280
1967,1172
1968,1151
1969,1207
1970,1193
1971,1110
1972,899
1973,915
1974,876
1975,832
1976,768
1977,845
1978,812
1979,834
1980,854
1981,772
1982,827
1983,697
1984,760
1985,786
1986,752
1987,777
1988,808
1989,863
1990,817
1991,826
1992,819
1993,677
1994,665
1995,620
1996,664
1997,549
1998,600
1999,535
2000,500
2001,482
2002,476
2003,502
2004,464
2005,527
2006,581
2007,540
2008,545
2009,476
2010,471
2011,477
2012,449
2013,508
2014,618
