_id.Year,Number
1910,516318
1911,565810
1912,887984
1913,1028553
1914,1293322
1915,1690022
1916,1786510
1917,1855696
1918,2013381
1919,1954834
1920,2101157
1921,2170892
1922,2127307
1923,2141692
1924,2218838
1925,2172403
1926,2137286
1927,2160249
1928,2105481
1929,2040623
1930,2070844
1931,1958859
1932,1964421
1933,1857674
1934,1933466
1935,1946981
1936,1936249
1937,1986759
1938,2068294
1939,2059878
1940,2157632
1941,2288235
1942,2576573
1943,2664927
1944,2537120
1945,2501963
1946,3032350
1947,3427532
1948,3280438
1949,3312353
1950,3330666
1951,3504403
1952,3617370
1953,3665807
1954,3790625
1955,3821699
1956,3926008
1957,4002231
1958,3933693
1959,3955363
1960,3948284
1961,3929909
1962,3826131
1963,3747914
1964,3674865
1965,3420034
1966,3268132
1967,3184540
1968,3160072
1969,3245564
1970,3359931
1971,3177813
1972,2890397
1973,2759517
1974,2774144
1975,2744651
1976,2754069
1977,2882671
1978,2877289
1979,3018685
1980,3130096
1981,3145554
1982,3192364
1983,3153008
1984,3176106
1985,3245530
1986,3227500
1987,3265895
1988,3340519
1989,3475179
1990,3566331
1991,3502689
1992,3442170
1993,3363860
1994,3307185
1995,3249146
1996,3224919
1997,3193018
1998,3229407
1999,3233110
2000,3296850
2001,3250984
2002,3238053
2003,3288978
2004,3293984
2005,3305315
2006,3387737
2007,3412417
2008,3340318
2009,3232116
2010,3116548
2011,3079145
2012,3073858
2013,3066443
2014,3113611
